name,min,max
ss.ss_addr_sk,1.0,116000.0
ss.ss_store_sk,1.0,40.0
ss.ss_promo_sk,1.0,366.0
ss.ss_ticket_number,1.0,960000.0
ss.ss_quantity,1.0,100.0
ss.ss_wholesale_cost,1.0,100.0
ss.ss_list_price,1.0,200.0
ss.ss_sales_price,0.0,199.96
ss.ss_ext_discount_amt,0.0,18092.44
ss.ss_ext_sales_price,0.0,19562.4
ss.ss_ext_wholesale_cost,1.0,10000.0
ss.ss_ext_list_price,1.06,19984.0
ss.ss_ext_tax,0.0,1749.87
ss.ss_coupon_amt,0.0,18092.44
ss.ss_net_paid,0.0,19562.4
ss.ss_net_paid_inc_tax,0.0,21192.87
ss.ss_net_profit,-9991.0,9731.7
t.t_time_sk,0.0,86399.0
t.t_time,0.0,86399.0
t.t_hour,0.0,23.0
t.t_minute,0.0,59.0
t.t_second,0.0,59.0
t.t_time_id,0.0,0.0
t.t_am_pm,0.0,0.0
t.t_shift,0.0,0.0
t.t_sub_shift,0.0,0.0
t.t_meal_time,0.0,0.0
w.w_warehouse_sk,1.0,6.0
w.w_warehouse_sq_ft,138504.0,977787.0
w.w_gmt_offset,-5.0,-5.0
w.w_warehouse_id,0.0,0.0
w.w_warehouse_name,0.0,0.0
w.w_street_number,368.0,957.0
w.w_street_name,0.0,0.0
w.w_street_type,0.0,0.0
w.w_suite_number,0.0,0.0
w.w_city,0.0,0.0
w.w_county,0.0,0.0
w.w_state,0.0,0.0
w.w_zip,35709.0,38370.0
w.w_country,0.0,0.0
wp.wp_web_page_sk,1.0,106.0
wp.wp_rec_start_date,0.0,0.0
wp.wp_rec_end_date,0.0,0.0
wp.wp_creation_date_sk,2450807.0,2450815.0
wp.wp_access_date_sk,2452548.0,2452648.0
wp.wp_customer_sk,5596.0,226633.0
wp.wp_char_count,508.0,7046.0
wp.wp_link_count,2.0,25.0
wp.wp_image_count,1.0,7.0
wp.wp_max_ad_count,0.0,4.0
wp.wp_autogen_flag,0.0,0.0
wp.wp_url,0.0,0.0
wp.wp_type,0.0,0.0
wp.wp_web_page_id,0.0,0.0
wr.wr_returned_date_sk,2450832.0,2452995.0
wr.wr_returned_time_sk,0.0,86399.0
wr.wr_item_sk,1.0,46000.0
wr.wr_refunded_customer_sk,1.0,233000.0
wr.wr_refunded_cdemo_sk,4.0,1920799.0
wr.wr_refunded_hdemo_sk,1.0,7200.0
wr.wr_refunded_addr_sk,1.0,115999.0
wr.wr_returning_customer_sk,1.0,233000.0
wr.wr_returning_cdemo_sk,4.0,1920799.0
wr.wr_returning_hdemo_sk,1.0,7200.0
wr.wr_returning_addr_sk,1.0,115999.0
wr.wr_web_page_sk,1.0,106.0
wr.wr_reason_sk,1.0,38.0
wr.wr_order_number,1.0,240000.0
wr.wr_return_quantity,1.0,100.0
wr.wr_return_amt,0.0,25649.4
wr.wr_return_tax,0.0,2090.05
wr.wr_return_amt_inc_tax,0.0,26675.37
wr.wr_fee,0.5,100.0
wr.wr_return_ship_cost,0.0,12218.34
wr.wr_refunded_cash,0.0,24003.81
wr.wr_reversed_charge,0.0,16140.11
wr.wr_account_credit,0.0,19033.4
wr.wr_net_loss,0.57,13871.85
ws.ws_sold_date_sk,2450816.0,2452642.0
ws.ws_sold_time_sk,0.0,86397.0
ws.ws_ship_date_sk,2450817.0,2452762.0
ws.ws_item_sk,1.0,46000.0
ws.ws_bill_customer_sk,1.0,233000.0
ws.ws_bill_cdemo_sk,3.0,1920798.0
ws.ws_bill_hdemo_sk,1.0,7200.0
ws.ws_bill_addr_sk,1.0,116000.0
ws.ws_ship_customer_sk,4.0,232999.0
ws.ws_ship_cdemo_sk,3.0,1920791.0
ws.ws_ship_hdemo_sk,1.0,7200.0
ws.ws_ship_addr_sk,1.0,116000.0
ws.ws_web_page_sk,1.0,106.0
ws.ws_web_site_sk,1.0,34.0
ws.ws_ship_mode_sk,1.0,20.0
ws.ws_warehouse_sk,1.0,6.0
ws.ws_promo_sk,1.0,366.0
ws.ws_order_number,1.0,240000.0
ws.ws_quantity,1.0,100.0
ws.ws_wholesale_cost,1.0,100.0
ws.ws_list_price,1.01,300.0
ws.ws_sales_price,0.0,299.94
ws.ws_ext_discount_amt,0.0,29317.0
ws.ws_ext_sales_price,0.0,28592.19
ws.ws_ext_wholesale_cost,1.0,10000.0
ws.ws_ext_list_price,1.08,29970.0
ws.ws_ext_tax,0.0,2511.67
ws.ws_coupon_amt,0.0,26909.62
ws.ws_ext_ship_cost,0.0,14446.08
ws.ws_net_paid,0.0,28538.37
ws.ws_net_paid_inc_tax,0.0,30821.43
ws.ws_net_paid_inc_ship,0.0,41222.09
ws.ws_net_paid_inc_ship_tax,0.0,43505.15
ws.ws_net_profit,-9965.0,18864.56
cc.cc_call_center_sk,1.0,12.0
cc.cc_rec_start_date,0.0,0.0
cc.cc_rec_end_date,0.0,0.0
cc.cc_closed_date_sk,0.0,0.0
cc.cc_open_date_sk,2450806.0,2451063.0
cc.cc_employees,8.0,106.0
cc.cc_sq_ft,2216.0,52736.0
cc.cc_mkt_id,2.0,6.0
cc.cc_division,1.0,6.0
cc.cc_company,1.0,6.0
cc.cc_gmt_offset,-5.0,-5.0
cc.cc_tax_percentage,0.0,0.12
cc.cc_call_center_id,0.0,0.0
cc.cc_name,0.0,0.0
cc.cc_class,0.0,0.0
cc.cc_hours,0.0,0.0
cc.cc_manager,0.0,0.0
cc.cc_mkt_class,0.0,0.0
cc.cc_mkt_desc,0.0,0.0
cc.cc_market_manager,0.0,0.0
cc.cc_division_name,0.0,0.0
cc.cc_company_name,0.0,0.0
cc.cc_street_number,415.0,984.0
cc.cc_street_name,0.0,0.0
cc.cc_street_type,0.0,0.0
cc.cc_suite_number,0.0,0.0
cc.cc_city,0.0,0.0
cc.cc_county,0.0,0.0
cc.cc_state,0.0,0.0
cc.cc_zip,31904.0,38370.0
cc.cc_country,0.0,0.0
cp.cp_catalog_page_sk,1.0,11718.0
cp.cp_start_date_sk,2450815.0,2453005.0
cp.cp_end_date_sk,2450844.0,2453186.0
cp.cp_catalog_number,1.0,109.0
cp.cp_catalog_page_number,1.0,108.0
cp.cp_catalog_page_id,0.0,0.0
cp.cp_department,0.0,0.0
cp.cp_description,0.0,0.0
cp.cp_type,0.0,0.0
cr.cr_returned_date_sk,2450821.0,2452920.0
cr.cr_returned_time_sk,0.0,86399.0
cr.cr_item_sk,1.0,46000.0
cr.cr_refunded_customer_sk,1.0,232998.0
cr.cr_refunded_cdemo_sk,5.0,1920795.0
cr.cr_refunded_hdemo_sk,1.0,7200.0
cr.cr_refunded_addr_sk,1.0,116000.0
cr.cr_returning_customer_sk,1.0,233000.0
cr.cr_returning_cdemo_sk,2.0,1920795.0
cr.cr_returning_hdemo_sk,1.0,7200.0
cr.cr_returning_addr_sk,1.0,116000.0
cr.cr_call_center_sk,1.0,12.0
cr.cr_catalog_page_sk,1.0,9828.0
cr.cr_ship_mode_sk,1.0,20.0
cr.cr_warehouse_sk,1.0,6.0
cr.cr_reason_sk,1.0,38.0
cr.cr_order_number,2.0,639999.0
cr.cr_return_quantity,1.0,100.0
cr.cr_return_amount,0.0,25937.42
cr.cr_return_tax,0.0,2190.46
cr.cr_return_amt_inc_tax,0.0,26528.94
cr.cr_fee,0.5,100.0
cr.cr_return_ship_cost,0.0,13077.7
cr.cr_refunded_cash,0.0,22110.68
cr.cr_reversed_charge,0.0,19826.57
cr.cr_store_credit,0.0,18404.95
cr.cr_net_loss,0.54,13213.89
cs.cs_sold_date_sk,2450815.0,2452653.0
cs.cs_sold_time_sk,0.0,86399.0
cs.cs_ship_date_sk,2450817.0,2452743.0
cs.cs_bill_customer_sk,1.0,232998.0
cs.cs_bill_cdemo_sk,5.0,1920795.0
cs.cs_bill_hdemo_sk,1.0,7200.0
cs.cs_bill_addr_sk,1.0,116000.0
cs.cs_ship_customer_sk,1.0,233000.0
cs.cs_ship_cdemo_sk,5.0,1920795.0
cs.cs_ship_hdemo_sk,1.0,7200.0
cs.cs_ship_addr_sk,1.0,116000.0
cs.cs_call_center_sk,1.0,12.0
cs.cs_catalog_page_sk,1.0,9828.0
cs.cs_ship_mode_sk,1.0,20.0
cs.cs_warehouse_sk,1.0,6.0
cs.cs_item_sk,1.0,46000.0
cs.cs_promo_sk,1.0,366.0
cs.cs_order_number,1.0,640000.0
cs.cs_quantity,1.0,100.0
cs.cs_wholesale_cost,1.0,100.0
cs.cs_list_price,1.0,300.0
cs.cs_sales_price,0.0,299.67
cs.cs_ext_discount_amt,0.0,29504.0
cs.cs_ext_sales_price,0.0,28846.0
cs.cs_ext_wholesale_cost,1.0,10000.0
cs.cs_ext_list_price,1.0,29976.0
cs.cs_ext_tax,0.0,2517.29
cs.cs_coupon_amt,0.0,25931.0
cs.cs_ext_ship_cost,0.0,14604.94
cs.cs_net_paid,0.0,28767.0
cs.cs_net_paid_inc_tax,0.0,30857.11
cs.cs_net_paid_inc_ship,0.0,42518.28
cs.cs_net_paid_inc_ship_tax,0.0,43919.2
cs.cs_net_profit,-9930.0,18962.02
c.c_customer_sk,1.0,233000.0
c.c_current_cdemo_sk,4.0,1920791.0
c.c_current_hdemo_sk,1.0,7200.0
c.c_current_addr_sk,1.0,116000.0
c.c_first_shipto_date_sk,2449028.0,2452678.0
c.c_first_sales_date_sk,2448998.0,2452648.0
c.c_birth_day,1.0,31.0
c.c_birth_month,1.0,12.0
c.c_birth_year,1924.0,1992.0
c.c_customer_id,0.0,0.0
c.c_salutation,0.0,0.0
c.c_first_name,0.0,0.0
c.c_last_name,0.0,0.0
c.c_preferred_cust_flag,0.0,0.0
c.c_birth_country,0.0,0.0
c.c_login,0.0,0.0
c.c_email_address,0.0,0.0
c.c_last_review_date,2452283.0,2452648.0
ca.ca_address_sk,1.0,116000.0
ca.ca_gmt_offset,-10.0,-5.0
ca.ca_address_id,0.0,0.0
ca.ca_street_number,1.0,1000.0
ca.ca_street_name,0.0,0.0
ca.ca_street_type,0.0,0.0
ca.ca_suite_number,0.0,0.0
ca.ca_city,0.0,0.0
ca.ca_county,0.0,0.0
ca.ca_state,0.0,0.0
ca.ca_zip,601.0,99981.0
ca.ca_country,0.0,0.0
ca.ca_location_type,0.0,0.0
cd.cd_demo_sk,1.0,1920800.0
cd.cd_purchase_estimate,500.0,10000.0
cd.cd_dep_count,0.0,6.0
cd.cd_dep_employed_count,0.0,6.0
cd.cd_dep_college_count,0.0,6.0
cd.cd_gender,0.0,0.0
cd.cd_marital_status,0.0,0.0
cd.cd_education_status,0.0,0.0
cd.cd_credit_rating,0.0,0.0
d.d_date_sk,2415022.0,2488070.0
d.d_date,0.0,0.0
d.d_month_seq,0.0,2400.0
d.d_week_seq,1.0,10436.0
d.d_quarter_seq,1.0,801.0
d.d_year,1900.0,2100.0
d.d_dow,0.0,6.0
d.d_moy,1.0,12.0
d.d_dom,1.0,31.0
d.d_qoy,1.0,4.0
d.d_fy_year,1900.0,2100.0
d.d_fy_quarter_seq,1.0,801.0
d.d_fy_week_seq,1.0,10436.0
d.d_first_dom,2415021.0,2488070.0
d.d_last_dom,2415020.0,2488372.0
d.d_same_day_ly,2414657.0,2487705.0
d.d_same_day_lq,2414930.0,2487978.0
d.d_day_name,0.0,0.0
d.d_quarter_name,0.0,0.0
d.d_holiday,0.0,0.0
d.d_weekend,0.0,0.0
d.d_following_holiday,0.0,0.0
d.d_current_day,0.0,0.0
d.d_current_week,0.0,0.0
d.d_current_month,0.0,0.0
d.d_current_quarter,0.0,0.0
d.d_current_year,0.0,0.0
d.d_date_id,0.0,0.0
hd.hd_demo_sk,1.0,7200.0
hd.hd_income_band_sk,1.0,20.0
hd.hd_dep_count,0.0,9.0
hd.hd_vehicle_count,-1.0,4.0
hd.hd_buy_potential,0.0,0.0
ib.ib_income_band_sk,1.0,20.0
ib.ib_lower_bound,0.0,190001.0
ib.ib_upper_bound,10000.0,200000.0
inv.inv_date_sk,2450815.0,2452635.0
inv.inv_item_sk,1.0,46000.0
inv.inv_warehouse_sk,1.0,6.0
inv.inv_quantity_on_hand,0.0,1000.0
